instance,nCustomers,cost,optimal
Augerat-1995-Set-P/P-n016-k08,16,450,1
Augerat-1995-Set-P/P-n019-k02,19,212,1
Augerat-1995-Set-P/P-n020-k02,20,216,1
Augerat-1995-Set-P/P-n021-k02,21,211,1
Augerat-1995-Set-P/P-n022-k02,22,216,1
Augerat-1995-Set-P/P-n022-k08,22,603,1
Christofides-and-Eilon-1969-Set-E/E-n022-k04,22,375,1
Augerat-1995-Set-P/P-n023-k08,23,529,1
Christofides-and-Eilon-1969-Set-E/E-n023-k03,23,569,1
Christofides-and-Eilon-1969-Set-E/E-n030-k03,30,534,1
Augerat-1995-Set-B/B-n31-k05,31,672,1
Augerat-1995-Set-A/A-n32-k05,32,784,1
Augerat-1995-Set-A/A-n33-k05,33,661,1
Augerat-1995-Set-A/A-n33-k06,33,742,1
Christofides-and-Eilon-1969-Set-E/E-n033-k04,33,835,1
Augerat-1995-Set-A/A-n34-k05,34,778,1
Augerat-1995-Set-B/B-n34-k05,34,788,1
Augerat-1995-Set-B/B-n35-k05,35,955,1
Augerat-1995-Set-A/A-n36-k05,36,799,1
Augerat-1995-Set-A/A-n37-k05,37,669,1
Augerat-1995-Set-A/A-n37-k06,37,949,1
Augerat-1995-Set-A/A-n38-k05,38,730,1
Augerat-1995-Set-B/B-n38-k06,38,805,1
Augerat-1995-Set-A/A-n39-k05,39,822,1
Augerat-1995-Set-A/A-n39-k06,39,831,1
Augerat-1995-Set-B/B-n39-k05,39,549,1
Augerat-1995-Set-P/P-n040-k05,40,458,1
Augerat-1995-Set-B/B-n41-k06,41,829,1
Augerat-1995-Set-B/B-n43-k06,43,742,1
Augerat-1995-Set-A/A-n44-k06,44,937,1
Augerat-1995-Set-B/B-n44-k07,44,909,1
Augerat-1995-Set-A/A-n45-k06,45,944,1
Augerat-1995-Set-A/A-n45-k07,45,1146,1
Augerat-1995-Set-B/B-n45-k05,45,751,1
Augerat-1995-Set-B/B-n45-k06,45,678,1
Augerat-1995-Set-P/P-n045-k05,45,510,1
Augerat-1995-Set-A/A-n46-k07,46,914,1
Augerat-1995-Set-A/A-n48-k07,48,1073,1
Augerat-1995-Set-B/B-n50-k07,50,741,1
Augerat-1995-Set-B/B-n50-k08,50,1312,1
Augerat-1995-Set-P/P-n050-k07,50,554,1
Augerat-1995-Set-P/P-n050-k08,50,631,1
Augerat-1995-Set-P/P-n050-k10,50,696,1
Augerat-1995-Set-B/B-n51-k07,51,1032,1
Augerat-1995-Set-P/P-n051-k10,51,741,1
Christofides-and-Eilon-1969-Set-E/E-n051-k05,51,521,1
Christofides-et-al.-1979/CMT01,51,524.611,0
Christofides-et-al.-1979/CMT06,51,555.43,0
Augerat-1995-Set-B/B-n52-k07,52,747,1
Augerat-1995-Set-A/A-n53-k07,53,1010,1
Augerat-1995-Set-A/A-n54-k07,54,1167,1
Augerat-1995-Set-A/A-n55-k09,55,1073,1
Augerat-1995-Set-P/P-n055-k07,55,568,1
Augerat-1995-Set-P/P-n055-k08,55,588,1
Augerat-1995-Set-P/P-n055-k10,55,694,1
Augerat-1995-Set-P/P-n055-k15,55,989,1
Augerat-1995-Set-B/B-n56-k07,56,707,1
Augerat-1995-Set-B/B-n57-k07,57,1153,1
Augerat-1995-Set-B/B-n57-k09,57,1598,1
Augerat-1995-Set-A/A-n60-k09,60,1354,1
Augerat-1995-Set-P/P-n060-k10,60,744,1
Augerat-1995-Set-P/P-n060-k15,60,968,1
Augerat-1995-Set-A/A-n61-k09,61,1034,1
Augerat-1995-Set-A/A-n62-k08,62,1288,1
Augerat-1995-Set-A/A-n63-k09,63,1616,1
