solver,model,wins,total_time
kissat,01_compact.eprime,241,28051232.54000004
kissat,06_chPrunedLevels.eprime,199,28011575.780000053
kissat,05_nochAllLevels_2.eprime,0,222768999.80000064
kissat,02_compact.eprime,9,34423507.530000165
cplex,01_compact.eprime,2870,61455015.56000009
cplex,06_chPrunedLevels.eprime,2819,61598746.05999995
cplex,05_nochAllLevels_2.eprime,0,219364389.46999976
cplex,02_compact.eprime,0,367704000.0
chuffed,01_compact.eprime,1987,10367831.070000019
chuffed,06_chPrunedLevels.eprime,1977,10268243.870000014
chuffed,05_nochAllLevels_2.eprime,0,219775354.7400004
chuffed,02_compact.eprime,112,7404031.230000009
virtual best,virtual_best,10214,109533.85000000017
