problem,model,parameter,conjure_mode,optimization_level,heuristic,solver,SolverTotalTime,SATClauses,SavileRowClauseOut,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverTimeOut,SolverNodes,SATVars,SolverFailures,MZNpaths,MZNmethod,MZNflatTime,MZNflatIntConstraints,MZNevaluatedReifiedConstraints,MZNflatIntVars,SolverMemOut,TotalTime
csplib-prob045-CoveringArray,CoveringArray.essence,params/008eb170a07ca1d8311ede5d4a7adbba.param,portfolio4,O2,01_compact.eprime,kissat,0.29,250044,0,4.489,1,0,0,206356,41684,,,,,,,,,4.779
csplib-prob045-CoveringArray,CoveringArray.essence,params/008eb170a07ca1d8311ede5d4a7adbba.param,portfolio4,O2,01_compact.eprime,chuffed,0.200,,0,4.359,1,0,0,1629,,0,,,,,,,,4.559
csplib-prob045-CoveringArray,CoveringArray.essence,params/008eb170a07ca1d8311ede5d4a7adbba.param,portfolio4,O2,01_compact.eprime,or-tools1,5.34,,0,5.286,1,0,0,,,1648,,,,,,,,10.626
csplib-prob045-CoveringArray,CoveringArray.essence,params/008eb170a07ca1d8311ede5d4a7adbba.param,portfolio4,O2,01_compact.eprime,or-tools8-wallTime,4.3,,0,4.009,1,0,0,,,1561,,,,,,,,8.309000000000001
csplib-prob045-CoveringArray,CoveringArray.essence,params/008eb170a07ca1d8311ede5d4a7adbba.param,portfolio4,O2,01_compact.eprime,or-tools8-cpuTime,34.4,,0,4.009,1,0,0,,,1561,,,,,,,,38.409
csplib-prob045-CoveringArray,CoveringArray.essence,params/008eb170a07ca1d8311ede5d4a7adbba.param,portfolio4,O2,01_compact.eprime,cplex,2.813,,0,3.351,0,0,0,,,,0,satisfy,2.52758,17417,18567,26918,,6.164
csplib-prob045-CoveringArray,CoveringArray.essence,params/008eb170a07ca1d8311ede5d4a7adbba.param,portfolio4,O2,06_chPrunedLevels.eprime,kissat,0.27,250044,0,4.553,1,0,0,206356,41684,,,,,,,,0,4.823
csplib-prob045-CoveringArray,CoveringArray.essence,params/008eb170a07ca1d8311ede5d4a7adbba.param,portfolio4,O2,06_chPrunedLevels.eprime,chuffed,0.229,,0,4.325,1,0,0,1629,,0,,,,,,,,4.554
csplib-prob045-CoveringArray,CoveringArray.essence,params/008eb170a07ca1d8311ede5d4a7adbba.param,portfolio4,O2,06_chPrunedLevels.eprime,or-tools1,5.351,,0,5.31,1,0,0,,,1648,,,,,,,,10.661
csplib-prob045-CoveringArray,CoveringArray.essence,params/008eb170a07ca1d8311ede5d4a7adbba.param,portfolio4,O2,06_chPrunedLevels.eprime,or-tools8-wallTime,4.312,,0,3.547,1,0,0,,,22,,,,,,,,7.859
csplib-prob045-CoveringArray,CoveringArray.essence,params/008eb170a07ca1d8311ede5d4a7adbba.param,portfolio4,O2,06_chPrunedLevels.eprime,or-tools8-cpuTime,34.496,,0,3.547,1,0,0,,,22,,,,,,,,38.043
csplib-prob045-CoveringArray,CoveringArray.essence,params/008eb170a07ca1d8311ede5d4a7adbba.param,portfolio4,O2,06_chPrunedLevels.eprime,cplex,2.877,,0,3.198,0,0,0,,,,0,satisfy,2.5763,17417,18567,26918,,6.074999999999999
csplib-prob045-CoveringArray,CoveringArray.essence,params/017ecd18320cbd2bbc9dc0138417e760.param,portfolio4,O2,01_compact.eprime,kissat,11.56,2562343,0,17.077,1,0,0,3725845,385478,,,,,,,,0,28.637
csplib-prob045-CoveringArray,CoveringArray.essence,params/017ecd18320cbd2bbc9dc0138417e760.param,portfolio4,O2,01_compact.eprime,chuffed,1.463,,0,19.933,1,0,0,24387,,1727,,,,,,,,21.396
csplib-prob045-CoveringArray,CoveringArray.essence,params/017ecd18320cbd2bbc9dc0138417e760.param,portfolio4,O2,01_compact.eprime,or-tools1,28.81,,0,22.504,1,0,0,,,6154,,,,,,,,51.314
csplib-prob045-CoveringArray,CoveringArray.essence,params/017ecd18320cbd2bbc9dc0138417e760.param,portfolio4,O2,01_compact.eprime,or-tools8-wallTime,37.782,,0,16.731,1,0,0,,,7901,,,,,,,,54.513
csplib-prob045-CoveringArray,CoveringArray.essence,params/017ecd18320cbd2bbc9dc0138417e760.param,portfolio4,O2,01_compact.eprime,or-tools8-cpuTime,302.256,,0,16.731,1,0,0,,,7901,,,,,,,,318.98699999999997
