Problem	no-channelling, pruning	channelling (except parameters), pruning	channelling, pruning	no-channelling, no-pruning	channelling (except parameters), no-pruning	channelling, no-pruning
Capacitated Vehicle Routing Problem	2	32	32	2	32	4608
Transshipment Problem	4	256	256	16	65536	21233664
Van der Waerden Numbers	4	16	16	5	25	25
Car Sequencing	1	1	1	4	64	10368
Template Design	1	1	1	12	576	5184
Quasigroup Existence	1	1	1	3	729	729
Low Autocorrelation Binary Sequences	1	1	1	4	64	64
Golomb rulers	2	32	32	2	32	32
All-Interval Series	1	1	1	16	1024	1024
Vessel Loading	1	1	4	256	18446744073709551616	484116351470433472610304
Perfect Square Placement	1	1	1	16	16777216	16777216
Social Golfers Problem	3	9	9	3	9	9
Nonogram	1	1	1	1	1	1
Progressive Party Problem	4	256	256	16	262144	9437184
Schur's Lemma	4	16	32	5	25	50
Traffic Lights	1	1	1	3	27	27
Ramsey Numbers	2	128	512	3	2187	8748
Water Bucket Problem	1	1	32	4	1073741824	1099511627776
Magic Squares and Sequences	1	1	1	1	1	1
Crossfigures	1	1	1	1	1	1
Bus Driver Scheduling	4	64	256	9	729	2916
Magic Hexagon	1	1	1	1	1	1
Langford's number problem	1	1	1	3	243	243
Lam's Problem	1	1	1	1	1	1
Sports Tournament Scheduling	2	16	16	2	16	16
Alien Tiles Problem	1	1	1	1	1	1
Balanced Incomplete Block Designs	1	1	1	3	243	243
Balanced Academic Curriculum Problem (BACP)	1	1	1	4	16384	294912
Rack Configuration Problem	1	1	1	12	248832	544195584
Maximum density still life	2	256	256	2	256	256
Word Design for DNA Computing on Surfaces	2	32	32	8	32768	32768
Warehouse Location Problem	4	4	4	16	1024	18432
Fixed Length Error Correcting Codes	1	1	2	4	64	192
Steel Mill Slab Design	4	262144	262144	8	134217728	3623878656
The Rehearsal Problem	1	1	1	64	16777216	1207959552
A Distribution Problem with Wagner-Whitin Costs	1	1	4	1	1	4
The n-Fractions Puzzle	1	1	1	4	1024	1024
diagnosis	1	1	1	4	64	12288
Steiner triple systems	2	8	8	2	8	8
The Covering Array Problem	2	4	8	8	64	320
Minimum Energy Broadcast (MEB)	1	1	1	16	65536	524288
Number Partitioning	4	256	256	4	256	256
Diamond-free Degree Sequences	1	1	1	12	110592	110592
Tank Allocation	1	1	32	1	1	32
Graceful Graphs - Double Wheel Graphs	1	1	1	16	268435456	268435456
Graceful Graphs - Gears	1	1	1	16	65536	65536
Graceful Graphs - Helms	1	1	1	16	4194304	4194304
Graceful Graphs - Wheel Graphs	1	1	1	16	65536	65536
Graceful Graphs	1	1	1	16	65536	65536
N-Queens	1	1	1	4	64	64
Equidistant Frequency Permutation Arrays	1	1	1	4	256	256
Synchronous Optical Networking (SONET) Problem	8	512	1024	8	512	1024
Killer Sudoku	1	1	1	1	1	4
Optimal Financial Portfolio Design	2	4	4	2	4	4
Maximum Clique	1	1	1	1	1	1
Peaceably Co-existing Armies of Queens	4	256	256	4	256	256
Tail Assignment	8	2048	4096	60	153773437500	7381125000000
Vellino's Problem	6	304679870005248	304679870005248	45	5153090353671997409820556640625	417400318647431790195465087890625
A Layout Problem	2	32	2048	4	1024	262144
Knapsack Problem	4	64	64	4	64	576
Peg Solitaire	2	65536	65536	6	76169967501312	87747802561511424
Production Line Sequencing	8	32768	18446744073709551616	216	4231664861184	32931747576550225295039048712192
Resource-Constrained Project Scheduling Problem (RCPSP)	1	1	64	48	452984832	2641807540224
Traveling Salesman Problem	1	1	1	1	1	8
